StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,age,employed,hours_week,job_function,job_function_11_TEXT,job_level,job_level_6_TEXT,tenure_years,check_01,task_clarity,performance_criteria,solution_clarity,task_judgment,ai_tools,ai_tools_9_TEXT,ai_frequency,ai_percent,ai_activities,ai_integration,ai_speed,ai_quality,ai_verification,relative_performance,formal_evaluation,evaluation_outcome,deadline_performance,quality_performance,output_volume,digital_comfort,experience_years,attention_check,job_description,employment_confirm,eligible
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you 18 years of age or older?,Are you currently employed (including self-employed)?,"How many hours per week do you typically work in your primary job?

(Please enter a number. If your hours vary, give your best estimate.)",Which best describes your current primary job function? - Selected Choice,Which best describes your current primary job function? - Other (specify) - Text,Which best describes your current job level? - Selected Choice,Which best describes your current job level? - Other (specify) - Text,"How long have you been in your current role?

(Enter your best estimate in years. Decimals are OK (e.g., 0.5).)","To show that you are paying attention, please select “True.”",My core tasks have clear procedures or best practices.,Criteria for good performance are well-defined for my core tasks.,My core tasks usually have a clear correct solution.,My core tasks require substantial judgment because the correct approach is often unclear.,Which AI assistance tools do you use for work? (Select all that apply.) - Selected Choice,Which AI assistance tools do you use for work? (Select all that apply.) - Other (please specify) - Text,How often do you use AI assistance tools for work?,"Approximately what percentage of your work time involves using AI assistance tools?
(Enter a number from 0 to 100.)",For which activities do you use AI assistance tools at work?,AI assistance tools are integrated into my regular workflow.,AI assistance tools help me complete tasks faster.,AI assistance tools improve the quality of my work.,AI assistance tools often create extra work because I need to verify or correct outputs.,"Compared to others in similar roles, how would you rate your performance over the past 3 months?",Have you received a formal performance evaluation in your current role within the past 12 months?,How would you describe the overall outcome of your most recent performance evaluation?,"Over the past 4 weeks, I consistently met deadlines.","Over the past 4 weeks, my work quality met or exceeded expectations.","Over the past 4 weeks, I produced a high volume of output relative to my role.",I am comfortable learning and using new digital tools for work.,"How many years of full-time work experience do you have?
(Enter your best estimate in years. Decimals are OK.)",Please select 'Agree'.,"In one sentence, what is your primary job?",You indicated that you are currently employed. Is that correct?,eligible
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_11_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_9_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID22""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""eligible""}"
2026-02-11 12:05:29,2026-02-11 12:05:56,Survey Preview,100,26,True,2026-02-11 12:05:56,R_3k7eQdRH4vvCAzZ,preview,EN,,No,Yes,,Software / IT / Engineering,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 12:06:29,2026-02-11 12:07:03,Survey Preview,100,33,True,2026-02-11 12:07:03,R_35Znmn6E5ztZr4o,preview,EN,,Yes,No,,Software / IT / Engineering,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 12:07:08,2026-02-11 12:07:39,Survey Preview,100,30,True,2026-02-11 12:07:39,R_3uBZgiY91bRRJTB,preview,EN,,Yes,Yes,,Software / IT / Engineering,,Individual contributor,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 12:09:52,2026-02-11 12:14:32,Survey Preview,100,279,True,2026-02-11 12:14:32,R_3Iaqh0c4IPpcEV6,preview,EN,,Yes,Yes,,Operations / Supply Chain,,Executive,,,False,Agree,Neither agree nor disagree,Agree,Strongly agree,,,Daily or more,,Planning or outlining,Strongly agree,Agree,Agree,Agree,Above average,No,,Agree,Neither agree nor disagree,Agree,Strongly agree,,Strongly agree,IT,Yes,
2026-02-11 12:14:37,2026-02-11 12:16:13,Survey Preview,100,95,True,2026-02-11 12:16:13,R_3QOAoeRMOfSFse5,preview,EN,,Yes,Yes,,Sales / Account Management,,Senior manager / director,,,False,Disagree,Agree,Agree,Neither agree nor disagree,,,1–2 times per week,,Data analysis,Agree,Agree,Agree,Neither agree nor disagree,Above average,Yes,Below expectations,Agree,Agree,Neither agree nor disagree,Agree,,Agree,Sales,Yes,
2026-02-11 12:31:10,2026-02-11 12:31:37,Survey Preview,100,26,True,2026-02-11 12:31:37,R_6b4c6E7UUjwe2yt,preview,EN,,Yes,Yes,,Operations / Supply Chain,,Individual contributor,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-11 12:31:42,2026-02-11 12:34:43,Survey Preview,100,180,True,2026-02-11 12:34:43,R_6ZpGb2oEhOTjwpH,preview,EN,,Yes,Yes,,Marketing / Communications,,Team lead / supervisor,,,True,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,1–2 times per week,,Data analysis,Agree,Neither agree nor disagree,Agree,Agree,Above average,Yes,Meets expectations,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Neither agree nor disagree,IT,Yes,1
2026-02-12 11:42:28,2026-02-12 11:43:26,Survey Preview,100,57,True,2026-02-12 11:43:27,R_6O30Q8L7iX6TnQF,preview,EN,,Yes,No,,Data / Analytics / Research,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 11:37:30,2026-02-15 11:39:20,Survey Preview,100,109,True,2026-02-15 11:39:20,R_6ERqPJZkTDnzhTz,preview,EN,,Yes,No,,Software / IT / Engineering,,Manager,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 11:39:35,2026-02-15 11:44:47,Survey Preview,100,311,True,2026-02-15 11:44:47,R_6o8aEk1JKIRTnox,preview,EN,,Yes,Yes,,Marketing / Communications,,Individual contributor,,,False,Agree,Agree,Agree,Disagree,,,Less than once per month,,Brainstorming or ideation,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,About average,Not sure,,Agree,Agree,Agree,Agree,,Agree,Creative director and communications lead for my start-up.,Yes,1
2026-02-15 11:45:13,2026-02-15 11:48:48,Survey Preview,100,214,True,2026-02-15 11:48:48,R_6AT9eD4uV5VLarD,preview,EN,,Yes,No,,Product / Program Management,,Manager,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 11:53:06,2026-02-15 11:54:02,Survey Preview,100,56,True,2026-02-15 11:54:02,R_3IhNeCJ4SocdOhi,preview,EN,,Yes,No,,Finance / Accounting,,Executive,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 12:55:53,2026-02-15 13:01:45,Survey Preview,100,351,True,2026-02-15 13:01:45,R_6nu3oiqve8D1X29,preview,EN,,Yes,Yes,,Finance / Accounting,,Other (specify),,,True,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,3–4 times per week,,Data analysis,Agree,Neither agree nor disagree,Agree,Disagree,Above average,Yes,Exceeds expectations,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Agree,My job is TEST,Yes,1
2026-02-15 13:09:20,2026-02-15 13:11:32,Survey Preview,100,132,True,2026-02-15 13:11:33,R_62JUXhU8itMb5hD,preview,EN,,No,No,,Other (specify),,Other (specify),,,False,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 13:13:01,2026-02-15 13:13:24,Survey Preview,100,22,True,2026-02-15 13:13:24,R_6N52OcNAyiWwoDe,preview,EN,,No,No,,Other (specify),,Other (specify),,,False,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 13:18:53,2026-02-15 13:20:18,Survey Preview,100,84,True,2026-02-15 13:20:18,R_6smEwvsXJFOI0kB,preview,EN,,Yes,No,,Product / Program Management,,Executive,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 13:20:45,2026-02-15 13:24:33,Survey Preview,100,228,True,2026-02-15 13:24:33,R_5smIz2KMOHt2rH2,preview,EN,,Yes,Yes,,Other (specify),,Individual contributor,,,True,Agree,Strongly agree,Strongly agree,Strongly agree,,,1–2 times per week,,"Writing or editing text,Summarizing documents or messages,Coding or debugging,Planning or outlining",Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Above average,Yes,Well below expectations,Disagree,Neither agree nor disagree,Agree,Strongly agree,,Strongly agree,TEST TEST TEST TEST,Yes,1
2026-02-15 14:51:09,2026-02-15 14:56:03,Survey Preview,100,293,True,2026-02-15 14:56:03,R_6oaSxr57JF01fYR,preview,EN,,Yes,No,,Data / Analytics / Research,,Other (specify),,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 14:56:17,2026-02-15 14:59:53,Survey Preview,100,216,True,2026-02-15 14:59:53,R_6KdTvINkJenSwV3,preview,EN,,Yes,Yes,,Data / Analytics / Research,,Team lead / supervisor,,,True,Agree,Agree,Agree,Agree,,,1–3 times per month,,"Brainstorming or ideation,Data analysis,I do not use AI assistance tools",Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,About average,Not sure,,Neither agree nor disagree,Disagree,Agree,Disagree,,Agree,j,Yes,1
2026-02-15 14:54:07,2026-02-15 15:05:27,Survey Preview,100,679,True,2026-02-15 15:05:27,R_3R3AhhoJld1rhD4,preview,EN,,No,No,,Data / Analytics / Research,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 15:05:40,2026-02-15 15:09:04,Survey Preview,100,203,True,2026-02-15 15:09:04,R_3AU50XTAB0Re91f,preview,EN,,Yes,Yes,,Data / Analytics / Research,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 15:09:12,2026-02-15 15:13:49,Survey Preview,100,276,True,2026-02-15 15:13:49,R_3fiBrxKioHKcIiw,preview,EN,,Yes,Yes,,Sales / Account Management,,Manager,,,True,Agree,Agree,Agree,Neither agree nor disagree,,,1–2 times per week,,Coding or debugging,Neither agree nor disagree,Agree,Agree,Agree,Above average,No,,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Agree,TEST,Yes,1
2026-02-15 17:47:26,2026-02-15 17:51:22,Survey Preview,100,235,True,2026-02-15 17:51:22,R_39shxTrrnUijuq5,preview,EN,,No,No,,Finance / Accounting,,Manager,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 17:52:00,2026-02-15 17:54:29,Survey Preview,100,148,True,2026-02-15 17:54:29,R_3IYVInglglCH5HM,preview,EN,,Yes,Yes,,Operations / Supply Chain,,Manager,,,True,Agree,Agree,Agree,Agree,,,Daily or more,,"Summarizing documents or messages,Brainstorming or ideation,Coding or debugging",Agree,Agree,Agree,Agree,Top 20%,Not sure,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,,Agree,Work,Yes,1
2026-02-15 20:17:20,2026-02-15 20:24:00,Survey Preview,100,399,True,2026-02-15 20:24:00,R_6ExXiWNzZcsAL3v,preview,EN,,Yes,Yes,,Other (specify),,Other (specify),,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 20:24:18,2026-02-15 20:25:57,Survey Preview,100,99,True,2026-02-15 20:25:58,R_6vTycHcWdEsJYBj,preview,EN,,No,No,,Other (specify),,Other (specify),,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 20:26:16,2026-02-15 20:31:14,Survey Preview,100,298,True,2026-02-15 20:31:14,R_6lrZAvvLjoBBFz8,preview,EN,,Yes,Yes,,Data / Analytics / Research,,Individual contributor,,,True,Agree,Agree,Agree,Agree,,,Daily or more,,"Summarizing documents or messages,Brainstorming or ideation,I do not use AI assistance tools",Neither agree nor disagree,Agree,Agree,Agree,About average,No,,Strongly agree,Agree,Agree,Agree,,Agree,Test,Yes,1
2026-02-15 20:38:10,2026-02-15 20:38:48,Survey Preview,100,37,True,2026-02-15 20:38:48,R_6FJVi6Pfe3obNPR,preview,EN,,Yes,Yes,,Marketing / Communications,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 20:39:50,2026-02-15 20:43:58,Survey Preview,100,247,True,2026-02-15 20:43:58,R_6SIxQuc6wATLDBW,preview,EN,,Yes,Yes,,Operations / Supply Chain,,Team lead / supervisor,,,False,Agree,Agree,Strongly agree,Strongly agree,,,Daily or more,,I do not use AI assistance tools,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Top 20%,Yes,Far exceeds expectations,Agree,Agree,Strongly agree,Strongly agree,,Strongly agree,Test,Yes,1
2026-02-17 10:20:00,2026-02-17 10:20:23,Survey Preview,100,22,True,2026-02-17 10:20:23,R_67qhm5xBIORIa6t,preview,EN,,Yes,Yes,,Software / IT / Engineering,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-17 10:20:39,2026-02-17 10:21:24,Survey Preview,100,45,True,2026-02-17 10:21:25,R_6EyrC9wqn38LWRu,preview,EN,,Yes,Yes,,Software / IT / Engineering,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-20 16:50:05,2026-02-20 16:52:03,Survey Preview,100,117,True,2026-02-20 16:52:03,R_7MwuShkfJTHX4fD,preview,EN,1,No,No,40,Sales / Account Management,,Manager,,4,True,Disagree,Neither agree nor disagree,Agree,Disagree,"DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot),Perplexity (or similar AI search assistant)",,3–4 times per week,10,Coding or debugging,Agree,Neither agree nor disagree,Agree,Agree,Above average,No,,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,40,Disagree,IT,Yes,1
2026-02-20 16:52:40,2026-02-20 16:53:48,Survey Preview,100,68,True,2026-02-20 16:53:49,R_7iajOpBGbhckNp4,preview,EN,1,Yes,Yes,5,Operations / Supply Chain,,Senior manager / director,,5,True,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagreeGoogle Gemini (formerly Bard),,3–4 times per week,5,Coding or debugging,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Above average,Not sure,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,5,Disagree,55,Yes,1
2026-02-23 10:07:13,2026-02-23 10:10:29,IP Address,100,195,True,2026-02-23 10:10:29,R_6DViTSCAAczoCkN,anonymous,EN,1,Yes,Yes,36,Customer Support / Service,,Individual contributor,,2,True,Agree,Agree,Strongly agree,Disagree,"Grammarly (or similar writing assistant),Other (please specify)",ChatGPT; Microsoft Co-Pilot,Daily or more,15,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Planning or outlining",Agree,Strongly agree,Strongly agree,Strongly disagree,Above average,Yes,Exceeds expectations,Strongly agree,Strongly agree,Agree,Strongly agree,5,Agree,I currently work as an Associate Marriage and Family therapist in a group practice setting,Yes,1
2026-02-23 10:08:08,2026-02-23 10:10:32,IP Address,100,144,True,2026-02-23 10:10:33,R_5fJA8hOj2KKbWq6,anonymous,EN,1,Yes,Yes,40,Operations / Supply Chain,,Individual contributor,,1,True,Agree,Disagree,Neither agree nor disagree,Agree,I do not use AI assistance tools,,Never,0,I do not use AI assistance tools,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,About average,No,,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,26,Agree,"Test technician responsible for testing equipment to ensure full functionality ",Yes,1
2026-02-23 10:08:05,2026-02-23 10:10:35,IP Address,100,149,True,2026-02-23 10:10:35,R_3TTbsMCbFhjLsvj,anonymous,EN,1,Yes,Yes,40,Software / IT / Engineering,,Individual contributor,,1,True,Agree,Agree,Neither agree nor disagree,Agree,"Strongly disagreeChatGPT (OpenAI),Neither agree nor disagreeGoogle Gemini (formerly Bard)",,Daily or more,5,"Summarizing documents or messages,Brainstorming or ideation,Coding or debugging",Disagree,Agree,Agree,Disagree,About average,No,,Agree,Agree,Neither agree nor disagree,Agree,5,Agree,I'm a software developer,Yes,1
2026-02-23 10:07:21,2026-02-23 10:11:29,IP Address,100,248,True,2026-02-23 10:11:29,R_6eV61acyFOt3nDb,anonymous,EN,1,Yes,Yes,40,Operations / Supply Chain,,Manager,,4.6,True,Agree,Agree,Agree,Disagree,"Strongly disagreeChatGPT (OpenAI),Grammarly (or similar writing assistant),Perplexity (or similar AI search assistant)",,Daily or more,15,"Writing or editing text,Summarizing documents or messages,Coding or debugging,Data analysis",Agree,Agree,Agree,Neither agree nor disagree,Above average,Yes,Exceeds expectations,Agree,Agree,Neither agree nor disagree,Agree,40,Agree,Quality manager of a lab,Yes,1
2026-02-23 10:08:01,2026-02-23 10:11:57,IP Address,100,235,True,2026-02-23 10:11:57,R_19bI4TgWfOkdEu8,anonymous,EN,1,Yes,Yes,40,Other (specify),education,Individual contributor,,1.5,True,Agree,Agree,Agree,Disagree,Strongly disagreeChatGPT (OpenAI),,1–2 times per week,20,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Data analysis,Planning or outlining",Agree,Strongly agree,Agree,Disagree,Above average,Yes,Exceeds expectations,Agree,Agree,Agree,Agree,25,Agree,I teach nursing students in an associates degree nursing program.,Yes,1
2026-02-23 10:09:40,2026-02-23 10:12:28,IP Address,100,167,True,2026-02-23 10:12:28,R_12G1j0Z0s2BD9DV,anonymous,EN,1,Yes,Yes,40,Software / IT / Engineering,,Team lead / supervisor,,2,True,Agree,Neither agree nor disagree,Disagree,Strongly agree,"Strongly disagreeChatGPT (OpenAI),DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot),Company-provided internal AI tool(s)",,Daily or more,10,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Data analysis,Planning or outlining",Agree,Agree,Neither agree nor disagree,Disagree,Top 20%,Yes,Exceeds expectations,Strongly agree,Strongly agree,Strongly agree,Strongly agree,20,Agree,"My primary job is to identify, analyze and report on cybersecurity risks.",Yes,1
2026-02-23 10:08:04,2026-02-23 10:12:49,IP Address,100,284,True,2026-02-23 10:12:50,R_1Ez2qd62gWkGARl,anonymous,EN,1,Yes,Yes,40,Software / IT / Engineering,,Manager,,4,True,Agree,Strongly agree,Agree,Strongly disagree,"Strongly disagreeChatGPT (OpenAI),Neither agree nor disagreeGoogle Gemini (formerly Bard),Grammarly (or similar writing assistant)",,Daily or more,2,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation",Agree,Agree,Strongly agree,Disagree,About average,Yes,Meets expectations,Strongly agree,Agree,Agree,Strongly agree,11,Agree,Project Manager,Yes,1
2026-02-23 10:09:03,2026-02-23 10:14:24,IP Address,100,321,True,2026-02-23 10:14:25,R_1n7sYE5UTwVHXQY,anonymous,EN,1,Yes,Yes,40,Sales / Account Management,,Senior manager / director,,9,True,Agree,Strongly agree,Neither agree nor disagree,Agree,"Strongly disagreeChatGPT (OpenAI),DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot),Notion AI (or similar note/document assistant),Company-provided internal AI tool(s)",,3–4 times per week,50,"Writing or editing text,Brainstorming or ideation,Data analysis,Planning or outlining",Strongly agree,Agree,Agree,Neither agree nor disagree,About average,No,,Strongly agree,Agree,Strongly agree,Agree,12,Agree,I’m a senior supervisor of a large retail chain,Yes,1
2026-02-23 10:10:38,2026-02-23 10:14:30,IP Address,100,231,True,2026-02-23 10:14:30,R_3EzrkjeFyC73utK,anonymous,EN,1,Yes,Yes,52,Sales / Account Management,,Other (specify),owner/operator,11.7,True,Strongly agree,Strongly agree,Agree,Disagree,Other (please specify),grok,Daily or more,45,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Data analysis,Planning or outlining",Agree,Strongly agree,Strongly agree,Strongly disagree,About average,No,,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,26,Agree,i am a small business owner/operator and am involved with all aspects of the business.,Yes,1
2026-02-23 10:09:54,2026-02-23 10:14:35,IP Address,100,280,True,2026-02-23 10:14:36,R_1VEuuj2qawKCe4N,anonymous,EN,0.6000000238418579,Yes,Yes,40,Software / IT / Engineering,,Team lead / supervisor,,7,True,Agree,Agree,Agree,Disagree,Grammarly (or similar writing assistant),,1–2 times per week,10,Writing or editing text,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,About average,Yes,Exceeds expectations,Agree,Agree,Neither agree nor disagree,Agree,37,Agree,Keep the computers running.,Yes,1
2026-02-23 10:09:35,2026-02-23 10:14:51,IP Address,100,315,True,2026-02-23 10:14:51,R_1vhLArEDedHsSv7,anonymous,EN,1,Yes,Yes,40,Product / Program Management,,Manager,,3,True,Agree,Agree,Agree,Neither agree nor disagree,"Strongly disagreeChatGPT (OpenAI),DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot)",,1–3 times per month,2,"Brainstorming or ideation,Coding or debugging,Planning or outlining",Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,About average,Yes,Exceeds expectations,Agree,Agree,Disagree,Strongly agree,13,Agree,"Project management. ",Yes,1
2026-02-23 10:09:21,2026-02-23 10:14:53,IP Address,100,331,True,2026-02-23 10:14:53,R_7mkjNGr1b8WpFYN,anonymous,EN,1,Yes,Yes,40,Operations / Supply Chain,,Individual contributor,,6.2,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,I do not use AI assistance tools,,Never,0,I do not use AI assistance tools,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Above average,Yes,Exceeds expectations,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,45,Agree,"I work for Shaw Industries in Dalton, Georgia which is the biggest floor supplier in the United States.",Yes,1
2026-02-23 10:10:36,2026-02-23 10:15:12,IP Address,100,275,True,2026-02-23 10:15:13,R_7t17IgVrqRiTqGR,anonymous,EN,1,Yes,Yes,40,Data / Analytics / Research,,Individual contributor,,3.5,True,Agree,Agree,Agree,Disagree,"Strongly disagreeChatGPT (OpenAI),Neither agree nor disagreeGoogle Gemini (formerly Bard)",,Daily or more,35,"Writing or editing text,Coding or debugging,Data analysis",Agree,Agree,Agree,Neither agree nor disagree,Above average,Yes,Meets expectations,Agree,Agree,Neither agree nor disagree,Agree,21,Agree,My primary job is performing genetic data analysis and writing manuscript.,Yes,1
2026-02-23 10:08:58,2026-02-23 10:15:41,IP Address,100,403,True,2026-02-23 10:15:41,R_3fOGEzK9vHtIx1h,anonymous,EN,1,Yes,Yes,40,Customer Support / Service,,Manager,,6,True,Agree,Agree,Agree,Neither agree nor disagree,Strongly disagreeChatGPT (OpenAI),,3–4 times per week,15,"Writing or editing text,Summarizing documents or messages",Agree,Agree,Agree,Disagree,Above average,Yes,Exceeds expectations,Agree,Agree,Agree,Agree,36,Agree,I manage the day-to-day operations of a Health Care Clinic.,Yes,1
2026-02-23 10:09:50,2026-02-23 10:15:44,IP Address,100,353,True,2026-02-23 10:15:44,R_3adifeMed38GelP,anonymous,EN,1,Yes,Yes,40,Marketing / Communications,,Team lead / supervisor,,7,True,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Notion AI (or similar note/document assistant),Company-provided internal AI tool(s)",,Daily or more,50,"Writing or editing text,Brainstorming or ideation,Data analysis,Planning or outlining",Strongly agree,Strongly agree,Strongly agree,Disagree,Top 20%,Yes,Exceeds expectations,Strongly agree,Agree,Agree,Agree,15,Agree,Project management i oversee a team of 7.,Yes,1
2026-02-23 10:11:54,2026-02-23 10:15:59,IP Address,100,244,True,2026-02-23 10:15:59,R_6wbs6FGVD39OSMV,anonymous,EN,1,Yes,Yes,40,Finance / Accounting,,Individual contributor,,1,True,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,"Strongly disagreeChatGPT (OpenAI),DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot)",,Daily or more,10,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation",Agree,Strongly agree,Agree,Disagree,Above average,Yes,Meets expectations,Agree,Agree,Agree,Strongly disagree,3,Agree,Financial Analyst,Yes,1
2026-02-23 10:08:29,2026-02-23 10:16:45,IP Address,100,495,True,2026-02-23 10:16:45,R_1wqA2d8CKZqBrQR,anonymous,EN,0.30000001192092896,Yes,Yes,62,Data / Analytics / Research,,Team lead / supervisor,,0.6,True,Strongly agree,Strongly agree,Strongly agree,Disagree,"Strongly disagreeChatGPT (OpenAI),Neither agree nor disagreeGoogle Gemini (formerly Bard),Grammarly (or similar writing assistant),Perplexity (or similar AI search assistant)",,3–4 times per week,60,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Data analysis,Planning or outlining",Strongly agree,Strongly agree,Strongly agree,Agree,Top 20%,Yes,Exceeds expectations,Strongly agree,Strongly agree,Agree,Agree,4,Agree,"i oversee workers ",Yes,1
